Account,ChkRef,Debit,Credit,Balance,Date,Description
102749,,,469.69,,1/30/2026,Square Inc SQ260130 T33P78HRM5MN5E6
102749,,,21.67,,1/30/2026,GRUBHUB INC Jan Actvty XXXXXX2808xbjLv
102749,,19.31,,,1/30/2026,ADP PAYROLL FEES ADP FEES 932338567697
102749,,619.80,,,1/30/2026,ADP Tax ADP Tax KY6P4 013005A01
102749,,2176.19,,,1/30/2026,ADP WAGE PAY WAGE PAY 3250658881256P4
102749,,,308.57,,1/29/2026,Square Inc SQ260129 T3KG3E3Z9GMMG8N
102749,,,481.24,,1/28/2026,Square Inc SQ260128 T3ZV7MN6TP9R83G
102749,50111,493.46,,,1/27/2026,Check #50111
102749,,,15.86,,1/27/2026,EDI PAYMNT UBER USA 6787 REF*TN*54X1LEEH1T\
102749,50112,113.58,,,1/26/2026,Check #50112
102749,,,190.86,,1/26/2026,Square Inc SQ260126 T3231T8HPAF1P6G
102749,,,280.22,,1/26/2026,Square Inc SQ260126 T3FKFWDVCK0K1J8
102749,,1000.00,,,1/26/2026,CITI THANKYOU AUTO PYMT 721890361660066
102749,,553.18,,,1/26/2026,Sams BRC SYF PAYMNT 556053111435272
102749,,2365.84,,,1/23/2026,ADP WAGE PAY WAGE PAY 9254405718066P4
102749,,653.10,,,1/23/2026,ADP Tax ADP Tax KY6P4 012304A01
102749,,,488.40,,1/23/2026,Square Inc SQ260123 T3QJY39XTB9F5PX
102749,,19.31,,,1/23/2026,ADP PAYROLL FEES ADP FEES 930641480110
102749,,,277.28,,1/22/2026,Square Inc SQ260122 T3M3VM6QCWW8WGG
102749,,,68.00,,1/21/2026,Deposit
102749,,,113.00,,1/21/2026,Deposit
102749,,,80.00,,1/21/2026,Deposit
102749,,,189.00,,1/21/2026,Deposit
102749,,,108.00,,1/21/2026,Deposit
102749,,,97.00,,1/21/2026,Deposit
102749,,,747.00,,1/21/2026,Deposit
102749,,,230.00,,1/21/2026,Deposit
102749,,,794.00,,1/21/2026,Deposit
102749,,,742.00,,1/21/2026,Deposit
