Date,Receipt,Description,Amount
01/27/2026,,RENEWAL MEMBERSHIP FEE,895.00
01/12/2026,,AMEX Wireless Credit,-10.00
01/12/2026,,TMOBILE*AUTO PAY    800-937-8997        WA,266.02
01/05/2026,,UBER EATS           help.uber.com       CA,23.40
01/04/2026,,AplPay TST* THE GROVHOUSTON             TX,84.28
01/04/2026,,UBER ONE            help.uber.com       CA,9.99
01/04/2026,,UBER,9.40
01/04/2026,,UBER,10.47
01/03/2026,,UBER,8.39
01/03/2026,,UBER,8.53
01/02/2026,,UBER,7.97
01/02/2026,,UBER,15.90
12/28/2025,,ONLINE PAYMENT - THANK YOU,-2059.58
12/27/2025,,CEFCO #0013 BELTON TBELTON              TX,6.05
